0004.260685 00000469 8 C5 08 00 00 00 00 00 00
0004.260925 00000719 8 10 A5 03 00 00 00 00 00
0004.318592 00000368 8 03 49 29 11 00 0C 40 FF
0004.318843 0000045C 8 58 98 14 2E 00 00 90 8C
0004.319104 0000043C 8 42 BB 70 17 FE 00 00 00
0004.325499 00000219 8 31 80 7F 00 87 92 00 00
0004.359741 00000209 8 00 EA 12 07 68 01 80 B6
0004.359982 00000229 8 15 8D 13 8E 5C 00 ED D1
0004.360238 00000239 8 47 41 00 17 00 00 00 00
0004.360489 00000249 8 66 7D 46 06 05 60 29 00
0004.360750 00000469 8 D0 08 00 00 00 00 00 00
0004.361011 00000719 8 11 00 F9 01 00 00 00 00
0004.408668 00000368 8 03 49 29 11 00 0C 40 FF
0004.408929 0000045C 8 58 98 14 2E 00 00 90 8C
0004.409180 0000043C 8 42 BB 70 17 FE 00 00 00
0004.425487 00000219 8 31 80 7F 00 87 92 00 00
0004.459725 00000209 8 00 EA 92 04 68 01 A0 B6
0004.459970 00000229 8 FD 8C 10 8E 67 00 ED D1
0004.460226 00000239 8 47 41 00 17 00 00 00 00
0004.460477 00000249 8 66 7D 46 06 05 60 29 00
0004.460738 00000469 8 DA 08 00 00 00 00 00 00
0004.460989 00000719 8 12 40 29 00 27 00 25 00
0004.498611 00000368 8 03 49 29 11 00 0C 40 FF
0004.498862 0000045C 8 58 98 14 2E 00 00 90 8C
0004.499118 0000043C 8 42 BB 70 17 FE 00 00 00
0004.525476 00000219 8 31 80 7F 00 87 92 00 00
0004.559723 00000209 8 00 E9 52 02 68 01 A0 B6
0004.559974 00000229 8 ED 8C 0A 8E 5E 00 ED D1
0004.560220 00000239 8 47 41 00 17 00 00 00 00
0004.560471 00000249 8 66 7D 46 06 05 60 29 00
0004.560732 00000469 8 E4 08 00 00 00 00 00 00
0004.560993 00000719 8 13 00 00 00 03 00 00 00
0004.588610 00000368 8 03 49 29 11 00 0C 40 FF
0004.588871 0000045C 8 58 98 14 2E 00 00 90 8C
0004.589122 0000043C 8 42 BB 70 17 FE 00 00 00
0004.625454 00000219 8 31 80 7F 00 87 92 00 00
0004.659696 00000209 8 00 E9 12 FF 68 01 A0 B6
0004.659942 00000229 8 DD 8C 11 8E 68 00 ED D1
0004.660193 00000239 8 47 41 00 17 00 00 00 00
0004.660439 00000249 8 66 7D 46 06 05 60 29 00
0004.660705 00000469 8 EE 08 00 00 00 00 00 00
0004.660946 00000719 8 14 F6 14 C3 FE 49 3A 16
0004.678630 00000368 8 03 49 29 11 00 0C 40 FF
0004.678881 0000045C 8 58 98 14 2E 00 00 90 8C
0004.679142 0000043C 8 42 BB 70 17 FE 00 00 00
0004.725468 00000219 8 31 80 7F 00 87 92 00 00
0004.759685 00000209 8 00 E9 52 FC 68 01 80 B6
